CN      南明     |~BADKEY~                                            
CN201419奉贤     |~BADKEY~                                            
CN210002秦淮     |~BADKEY~                                            
CN266000崂山     |~BADKEY~                                            
CN300112南开     |~BADKEY~                                            
CN300451塘沽     |~BADKEY~                                            
CN421900南岳     |~BADKEY~                                            
CN430041东西     |~BADKEY~                                            
CN518081盐田     |~BADKEY~                                            
CN730030城关     |~BADKEY~                                            
CN      北三     |~BADKEY~                                            
CN      南海     |~BADKEY~                                            
CN      思明     |~BADKEY~                                            
CN      武侯     |~BADKEY~                                            
CN102200昌平     |~BADKEY~                                            
CN255399周村     |~BADKEY~                                            
CN300000       |~BADKEY~                                                
CN300230河北     |~BADKEY~                                            
CN330100新建     |~BADKEY~                                            
CN350013晋安     |~BADKEY~                                            
CN510170荔湾     |~BADKEY~                                            
CN510385荔湾     |~BADKEY~                                            
CN511473番禺     |~BADKEY~                                            
CN      体育     |~BADKEY~                                            
CN      新城     |~BADKEY~                                            
CN      西三     |~BADKEY~                                            
CN      都匀     |~BADKEY~                                            
CN      长阳     |~BADKEY~                                            
CN             |~BADKEY~                                                
CN100029朝阳     |~BADKEY~                                            
CN100088西城     |~BADKEY~                                            
CN110023铁西     |~BADKEY~                                            
CN200082杨浦     |~BADKEY~                                            
CN266000       |~BADKEY~                                                
CN266034市北     |~BADKEY~                                            
CN271199莱城     |~BADKEY~                                            
CN318000椒江     |~BADKEY~                                            
CN472000湖滨     |~BADKEY~                                            
CN515065龙湖     |~BADKEY~                                            
CN518000龙华     |~BADKEY~                                            
CN528329顺德     |~BADKEY~                                            
CN650228西山     |~BADKEY~                                            
CN      天津     |~BADKEY~                                            
CN      松江     |~BADKEY~                                            
CN      海秀     |~BADKEY~                                            
CN      ÄÞ     |~BADKEY~                                              
CN100075崇文     |~BADKEY~                                            
CN200090杨浦     |~BADKEY~                                            
CN214028滨湖     |~BADKEY~                                            
CN221002泉山     |~BADKEY~                                            
CN230001庐阳     |~BADKEY~                                            
CN300222河西     |~BADKEY~                                            
CN310006下城     |~BADKEY~                                            
CN310022拱墅     |~BADKEY~                                            
CN361000思明     |~BADKEY~                                            
CN430023江汉     |~BADKEY~                                            
CN515646潮安     |~BADKEY~                                            
CN518000深圳     |~BADKEY~                                            
CN518038福田     |~BADKEY~                                            
CN650221五华     |~BADKEY~                                            
CN      上城     |~BADKEY~                                            
CN      华中     |~BADKEY~                                            
CN      文化     |~BADKEY~                                            
CN      海淀     |~BADKEY~                                            
CN      肇嘉     |~BADKEY~                                            
CN      金平     |~BADKEY~                                            
CN      顾客     |~BADKEY~                                            
CN110044大东     |~BADKEY~                                            
CN215001平江     |~BADKEY~                                            
CN300121红桥     |~BADKEY~                                            
CN300220河西     |~BADKEY~                                            
CN300270大港     |~BADKEY~                                            
CN315010海曙     |~BADKEY~                                            
CN343000吉州     |~BADKEY~                                            
CN461000魏都     |~BADKEY~                                            
CN528308顺德     |~BADKEY~                                            
CN      新桥     |~BADKEY~                                            
CN      永安     |~BADKEY~                                            
CN      长寿     |~BADKEY~                                            
CN100160丰台     |~BADKEY~                                            
CN201613松江     |~BADKEY~                                            
CN201900宝山     |~BADKEY~                                            
CN210007白下     |~BADKEY~                                            
CN239001琅琊     |~BADKEY~                                            
CN266024市北     |~BADKEY~                                            
CN277500滕州     |~BADKEY~                                            
CN301800宝坻     |~BADKEY~                                            
CN310003上城     |~BADKEY~                                            
CN316000定海     |~BADKEY~                                            
CN511499番禺     |~BADKEY~                                            
CN830011新市     |~BADKEY~                                            
CN      蜀山     |~BADKEY~                                            
CN      ¼ª     |~BADKEY~                                              
CN100190海淀     |~BADKEY~                                            
CN130022南关     |~BADKEY~                                            
CN200439宝山     |~BADKEY~                                            
CN211400仪征     |~BADKEY~                                            
CN261041奎文     |~BADKEY~                                            
CN300123红桥     |~BADKEY~                                            
CN529400恩平     |~BADKEY~                                            
CN610057成华     |~BADKEY~                                            
CN621799江油     |~BADKEY~                                            
CN      余杭     |~BADKEY~                                            
CN      虹桥     |~BADKEY~                                            
CN110030皇姑     |~BADKEY~                                            
CN230022蜀山     |~BADKEY~                                            
CN250132历城     |~BADKEY~                                            
CN325699乐清     |~BADKEY~                                            
CN325802苍南     |~BADKEY~                                            
CN450001中原     |~BADKEY~                                            
CN510235海珠     |~BADKEY~                                            
CN526060端州     |~BADKEY~                                            
CN529030蓬江     |~BADKEY~                                            
CN      共和     |~BADKEY~                                            
CN      金海     |~BADKEY~                                            
CN      陕西     |~BADKEY~                                            
CN014030青山     |~BADKEY~                                            
CN200000上海     |~BADKEY~                                            
CN200023卢湾     |~BADKEY~                                            
CN210018南京     |~BADKEY~                                            
CN300074河西     |~BADKEY~                                            
CN314500桐乡     |~BADKEY~                                            
CN362700石狮     |~BADKEY~                                            
CN430014江岸     |~BADKEY~                                            
CN450046金水     |~BADKEY~                                            
CN710021未央     |~BADKEY~                                            
CN      三元     |~BADKEY~                                            
CN      厦门     |~BADKEY~                                            
CN      惠城     |~BADKEY~                                            
CN054001桥东     |~BADKEY~                                            
CN110043大东     |~BADKEY~                                            
CN200435闸北     |~BADKEY~                                            
CN201713青浦     |~BADKEY~                                            
CN225800宝应     |~BADKEY~                                            
CN334000信州     |~BADKEY~                                            
CN350002鼓楼     |~BADKEY~                                            
CN351111涵江     |~BADKEY~                                            
CN518001罗湖     |~BADKEY~                                            
CN528322顺德     |~BADKEY~                                            
CN537000玉州     |~BADKEY~                                            
CN      机场     |~BADKEY~                                            
CN      桥东     |~BADKEY~                                            
CN      永康     |~BADKEY~                                            
CN102488房山     |~BADKEY~                                            
CN210048六合     |~BADKEY~                                            
CN300051和平     |~BADKEY~                                            
CN361026海沧     |~BADKEY~                                            
CN363000芗城     |~BADKEY~                                            
CN510280海珠     |~BADKEY~                                            
CN510550白云     |~BADKEY~                                            
CN511483番禺     |~BADKEY~                                            
CN610017青羊     |~BADKEY~                                            
CN710000西安     |~BADKEY~                                            
CN      东阳     |~BADKEY~                                            
CN      南门     |~BADKEY~                                            
CN      杭州     |~BADKEY~                                            
CN      站前     |~BADKEY~                                            
CN      街      |~BADKEY~                                              
CN      青岛     |~BADKEY~                                            
CN056015复兴     |~BADKEY~                                            
CN201615松江     |~BADKEY~                                            
CN210001白下     |~BADKEY~                                            
CN215007沧浪     |~BADKEY~                                            
CN300201河西     |~BADKEY~                                            
CN361022集美     |~BADKEY~                                            
CN430000       |~BADKEY~                                                
CN518017福田     |~BADKEY~                                            
CN610213双流     |~BADKEY~                                            
CN      中南     |~BADKEY~                                            
CN110057和平     |~BADKEY~                                            
CN150086南岗     |~BADKEY~                                            
CN300020和平     |~BADKEY~                                            
CN315042江东     |~BADKEY~                                            
CN325204瑞安     |~BADKEY~                                            
CN325608乐清     |~BADKEY~                                            
CN510110越秀     |~BADKEY~                                            
CN510165白云     |~BADKEY~                                            
CN518000       |~BADKEY~                                                
CN518063南山     |~BADKEY~                                            
CN610042武侯     |~BADKEY~                                            
CN654499红河     |~BADKEY~                                            
CN      中央     |~BADKEY~                                            
CN      白云     |~BADKEY~                                            
CN030001迎泽     |~BADKEY~                                            
CN100077丰台     |~BADKEY~                                            
CN100120东城     |~BADKEY~                                            
CN154842依兰     |~BADKEY~                                            
CN201300浦东     |~BADKEY~                                            
CN266044四方     |~BADKEY~                                            
CN266599黄岛     |~BADKEY~                                            
CN500540东里     |~BADKEY~                                            
CN518117龙岗     |~BADKEY~                                            
CN      二路     |~BADKEY~                                            
CN      保密     |~BADKEY~                                            
CN      四川     |~BADKEY~                                            
CN      天目     |~BADKEY~                                            
CN      宜山     |~BADKEY~                                            
CN      扬州     |~BADKEY~                                            
CN      银城     |~BADKEY~                                            
CN102446房山     |~BADKEY~                                            
CN116015中山     |~BADKEY~                                            
CN200010黄浦     |~BADKEY~                                            
CN200011黄浦     |~BADKEY~                                            
CN200135浦东     |~BADKEY~                                            
CN200940宝山     |~BADKEY~                                            
CN210005白下     |~BADKEY~                                            
CN210013鼓楼     |~BADKEY~                                            
CN215558常熟     |~BADKEY~                                            
CN300150河北     |~BADKEY~                                            
CN330003西湖     |~BADKEY~                                            
CN404100万州     |~BADKEY~                                            
CN410004天心     |~BADKEY~                                            
CN430000江汉     |~BADKEY~                                            
CN442000茅箭     |~BADKEY~                                            
CN518131宝安     |~BADKEY~                                            
CN528313陈村     |~BADKEY~                                            
CN      广东     |~BADKEY~                                            
CN      海珠     |~BADKEY~                                            
CN      西南     |~BADKEY~                                            
CN100191海淀     |~BADKEY~                                            
CN114001铁东     |~BADKEY~                                            
CN200072闸北     |~BADKEY~                                            
CN200085虹口     |~BADKEY~                                            
CN211500六合     |~BADKEY~                                            
CN214001崇安     |~BADKEY~                                            
CN215021姑苏     |~BADKEY~                                            
CN215400太仓     |~BADKEY~                                            
CN225700兴化     |~BADKEY~                                            
CN300170河东     |~BADKEY~                                            
CN314400海宁     |~BADKEY~                                            
CN401520合川     |~BADKEY~                                            
CN417000娄星     |~BADKEY~                                            
CN510010越秀     |~BADKEY~                                            
CN510245海珠     |~BADKEY~                                            
CN528311顺德     |~BADKEY~                                            
CN528414东升     |~BADKEY~                                            
CN      向阳     |~BADKEY~                                            
CN      吴江     |~BADKEY~                                            
CN      江岸     |~BADKEY~                                            
CN      (单     |~BADKEY~                                              
CN      ºÞ     |~BADKEY~                                              
CN053099桃城     |~BADKEY~                                            
CN063799滦县     |~BADKEY~                                            
CN110025铁西     |~BADKEY~                                            
CN200000A      |~BADKEY~                                                
CN201201浦东     |~BADKEY~                                            
CN201821嘉定     |~BADKEY~                                            
CN350012晋安     |~BADKEY~                                            
CN430077洪山     |~BADKEY~                                            
CN511458南沙     |~BADKEY~                                            
CN512099浈江     |~BADKEY~                                            
CN516300惠东     |~BADKEY~                                            
CN522051榕城     |~BADKEY~                                            
CN525000茂南     |~BADKEY~                                            
CN610066锦江     |~BADKEY~                                            
CN      北大     |~BADKEY~                                            
CN      新区     |~BADKEY~                                            
CN      望江     |~BADKEY~                                            
CN      朝阳     |~BADKEY~                                            
CN      沈河     |~BADKEY~                                            
CN      迎泽     |~BADKEY~                                            
CN030002迎泽     |~BADKEY~                                            
CN100061崇文     |~BADKEY~                                            
CN201599金山     |~BADKEY~                                            
CN214072滨湖     |~BADKEY~                                            
CN264205环翠     |~BADKEY~                                            
CN271099泰山     |~BADKEY~                                            
CN430048东西     |~BADKEY~                                            
CN510655天河     |~BADKEY~                                            
CN510665天河     |~BADKEY~                                            
CN745100庆城     |~BADKEY~                                            
CN      北市     |~BADKEY~                                            
CN      奉贤     |~BADKEY~                                            
CN      暂缺     |~BADKEY~                                            
CN056002丛台     |~BADKEY~                                            
CN100028朝阳     |~BADKEY~                                            
CN100039海淀     |~BADKEY~                                            
CN100072丰台     |~BADKEY~                                            
CN201500金山     |~BADKEY~                                            
CN210005玄武     |~BADKEY~                                            
CN265599福山     |~BADKEY~                                            
CN266000市北     |~BADKEY~                                            
CN266499胶南     |~BADKEY~                                            
CN315040江东     |~BADKEY~                                            
CN315800北仑     |~BADKEY~                                            
CN510006海珠     |~BADKEY~                                            
CN521021湘桥     |~BADKEY~                                            
CN528100三水     |~BADKEY~                                            
CN529243台山     |~BADKEY~                                            
CN570216龙华     |~BADKEY~                                            
CN610020锦江     |~BADKEY~                                            
CN650032五华     |~BADKEY~                                            
CN      延安     |~BADKEY~                                            
CN      河东     |~BADKEY~                                            
CN      莲花     |~BADKEY~                                            
CN      越城     |~BADKEY~                                            
CN      越秀     |~BADKEY~                                            
CN030009杏花     |~BADKEY~                                            
CN045499寿阳     |~BADKEY~                                            
CN066001海港     |~BADKEY~                                            
CN116021沙河     |~BADKEY~                                            
CN132013丰满     |~BADKEY~                                            
CN150046香坊     |~BADKEY~                                            
CN200030徐汇     |~BADKEY~                                            
CN200435宝山     |~BADKEY~                                            
CN200437虹口     |~BADKEY~                                            
CN300241河北     |~BADKEY~                                            
CN510699越秀     |~BADKEY~                                            
CN518020罗湖     |~BADKEY~                                            
CN      兴义     |~BADKEY~                                            
CN      北京     |~BADKEY~                                            
CN      青浦     |~BADKEY~                                            
CN100053宣武     |~BADKEY~                                            
CN510000荔湾     |~BADKEY~                                            
CN510050越秀     |~BADKEY~                                            
CN510760黄埔     |~BADKEY~                                            
CN518115龙岗     |~BADKEY~                                            
CN523000南城     |~BADKEY~                                            
CN528463三乡     |~BADKEY~                                            
CN529100新会     |~BADKEY~                                            
CN      东海     |~BADKEY~                                            
CN      东西     |~BADKEY~                                            
CN      凤城     |~BADKEY~                                            
CN      河西     |~BADKEY~                                            
CN      浦口     |~BADKEY~                                            
CN      福泉     |~BADKEY~                                            
CN      路北     |~BADKEY~                                            
CN      金融     |~BADKEY~                                            
CN100012朝阳     |~BADKEY~                                            
CN200000奉贤     |~BADKEY~                                            
CN250202章丘     |~BADKEY~                                            
CN276826东港     |~BADKEY~                                            
CN430022江汉     |~BADKEY~                                            
CN510499白云     |~BADKEY~                                            
CN518057南山     |~BADKEY~                                            
CN523326石龙     |~BADKEY~                                            
CN      东山     |~BADKEY~                                            
CN      凯里     |~BADKEY~                                            
CN      历下     |~BADKEY~                                            
CN      张扬     |~BADKEY~                                            
CN      新安     |~BADKEY~                                            
CN      裕华     |~BADKEY~                                            
CN      车站     |~BADKEY~                                            
CN100600朝阳     |~BADKEY~                                            
CN116086甘井     |~BADKEY~                                            
CN244000铜官     |~BADKEY~                                            
CN255020张店     |~BADKEY~                                            
CN400013渝中     |~BADKEY~                                            
CN401120渝北     |~BADKEY~                                            
CN510370荔湾     |~BADKEY~                                            
CN518045福田     |~BADKEY~                                            
CN518129龙岗     |~BADKEY~                                            
CN519015香洲     |~BADKEY~                                            
CN523690凤岗     |~BADKEY~                                            
CN528000南海     |~BADKEY~                                            
CN610031金牛     |~BADKEY~                                            
CN      南京     |~BADKEY~                                            
CN      崂山     |~BADKEY~                                            
CN      荔湾     |~BADKEY~                                            
CN      龙江     |~BADKEY~                                            
CN050011长安     |~BADKEY~                                            
CN100122朝阳     |~BADKEY~                                            
CN150009南岗     |~BADKEY~                                            
CN201202浦东     |~BADKEY~                                            
CN350299长乐     |~BADKEY~                                            
CN355000福安     |~BADKEY~                                            
CN400011渝中     |~BADKEY~                                            
CN430010江岸     |~BADKEY~                                            
CN610032金牛     |~BADKEY~                                            
CN830002天山     |~BADKEY~                                            
CN      北一     |~BADKEY~                                            
CN      广园     |~BADKEY~                                            
CN121001古塔     |~BADKEY~                                            
CN200023黄浦     |~BADKEY~                                            
CN200092杨浦     |~BADKEY~                                            
CN200331普陀     |~BADKEY~                                            
CN201424奉贤     |~BADKEY~                                            
CN300384天河     |~BADKEY~                                            
CN310000       |~BADKEY~                                                
CN325000       |~BADKEY~                                                
CN325899苍南     |~BADKEY~                                            
CN518040福田     |~BADKEY~                                            
CN528199三水     |~BADKEY~                                            
CN528313顺德     |~BADKEY~                                            
CN610504新都     |~BADKEY~                                            
CN      东直     |~BADKEY~                                            
CN      八一     |~BADKEY~                                            
CN      皇姑     |~BADKEY~                                            
CN      西湖     |~BADKEY~                                            
CN100102朝阳     |~BADKEY~                                            
CN130000       |~BADKEY~                                                
CN201203浦东     |~BADKEY~                                            
CN201209浦东     |~BADKEY~                                            
CN363100龙海     |~BADKEY~                                            
CN400039九龙     |~BADKEY~                                            
CN510420白云     |~BADKEY~                                            
CN510803花都     |~BADKEY~                                            
CN518033福田     |~BADKEY~                                            
CN523073南城     |~BADKEY~                                            
CN650200官渡     |~BADKEY~                                            
CN      厚街     |~BADKEY~                                            
CN      延吉     |~BADKEY~                                            
CN      慈溪     |~BADKEY~                                            
CN      杨树     |~BADKEY~                                            
CN      江宁     |~BADKEY~                                            
CN      湘潭     |~BADKEY~                                            
CN      绵阳     |~BADKEY~                                            
CN041000尧都     |~BADKEY~                                            
CN065099广阳     |~BADKEY~                                            
CN100007东城     |~BADKEY~                                            
CN102209昌平     |~BADKEY~                                            
CN200126浦东     |~BADKEY~                                            
CN200233闵行     |~BADKEY~                                            
CN201112闵行     |~BADKEY~                                            
CN201114闵行     |~BADKEY~                                            
CN214129滨湖     |~BADKEY~                                            
CN235000相山     |~BADKEY~                                            
CN510308海珠     |~BADKEY~                                            
CN510442白云     |~BADKEY~                                            
CN570125龙华     |~BADKEY~                                            
CN610100龙泉     |~BADKEY~                                            
CN      下城     |~BADKEY~                                            
CN      文汇     |~BADKEY~                                            
CN      HT     |~BADKEY~                                                
CN043800闻喜     |~BADKEY~                                            
CN155899友谊     |~BADKEY~                                            
CN200333普陀     |~BADKEY~                                            
CN214000南长     |~BADKEY~                                            
CN300270滨海     |~BADKEY~                                            
CN314300海盐     |~BADKEY~                                            
CN430024江汉     |~BADKEY~                                            
CN511495番禺     |~BADKEY~                                            
CN518110宝安     |~BADKEY~                                            
CN523808松山     |~BADKEY~                                            
CN      和平     |~BADKEY~                                            
CN      成都     |~BADKEY~                                            
CN      晋江     |~BADKEY~                                            
CN      津南     |~BADKEY~                                            
CN      相城     |~BADKEY~                                            
CN137099洮北     |~BADKEY~                                            
CN150016道里     |~BADKEY~                                            
CN200125浦东     |~BADKEY~                                            
CN201601松江     |~BADKEY~                                            
CN215168吴中     |~BADKEY~                                            
CN215234吴江     |~BADKEY~                                            
CN274047牡丹     |~BADKEY~                                            
CN300385西青     |~BADKEY~                                            
CN314000南湖     |~BADKEY~                                            
CN361000       |~BADKEY~                                                
CN400031沙坪     |~BADKEY~                                            
CN400080大渡     |~BADKEY~                                            
CN430040东西     |~BADKEY~                                            
CN435003团城     |~BADKEY~                                            
CN511300增城     |~BADKEY~                                            
CN515800澄海     |~BADKEY~                                            
CN      太平     |~BADKEY~                                            
CN      槐荫     |~BADKEY~                                            
CN      温江     |~BADKEY~                                            
CN100000北京     |~BADKEY~                                            
CN100035西城     |~BADKEY~                                            
CN116089沙河     |~BADKEY~                                            
CN212300丹阳     |~BADKEY~                                            
CN215101吴中     |~BADKEY~                                            
CN300480滨海     |~BADKEY~                                            
CN400038沙坪     |~BADKEY~                                            
CN400700北碚     |~BADKEY~                                            
CN430079洪山     |~BADKEY~                                            
CN518053南山     |~BADKEY~                                            
CN523981沙田     |~BADKEY~                                            
CN525099茂南     |~BADKEY~                                            
CN610014青羊     |~BADKEY~                                            
CN629000船山     |~BADKEY~                                            
CN730060西固     |~BADKEY~                                            
CN750001兴庆     |~BADKEY~                                            
CN      五山     |~BADKEY~                                            
CN      南汇     |~BADKEY~                                            
CN      大兴     |~BADKEY~                                            
CN      山大     |~BADKEY~                                            
CN      巴南     |~BADKEY~                                            
CN      海门     |~BADKEY~                                            
CN      瑞安     |~BADKEY~                                            
CN100082海淀     |~BADKEY~                                            
CN110000       |~BADKEY~                                                
CN116001中山     |~BADKEY~                                            
CN130062绿园     |~BADKEY~                                            
CN150060平房     |~BADKEY~                                            
CN200442宝山     |~BADKEY~                                            
CN201299浦东     |~BADKEY~                                            
CN211100江宁     |~BADKEY~                                            
CN226006崇川     |~BADKEY~                                            
CN230011瑶海     |~BADKEY~                                            
CN250012历下     |~BADKEY~                                            
CN337000安源     |~BADKEY~                                            
CN430022江岸     |~BADKEY~                                            
CN516007惠城     |~BADKEY~                                            
CN725000汉滨     |~BADKEY~                                            
CN      大理     |~BADKEY~                                            
CN      官渡     |~BADKEY~                                            
CN      幸福     |~BADKEY~                                            
CN      广场     |~BADKEY~                                            
CN      房山     |~BADKEY~                                            
CN      教育     |~BADKEY~                                            
CN      茶山     |~BADKEY~                                            
CN      黑龙     |~BADKEY~                                            
CN201418奉贤     |~BADKEY~                                            
CN201805嘉定     |~BADKEY~                                            
CN250001市中     |~BADKEY~                                            
CN300073南开     |~BADKEY~                                            
CN300251河北     |~BADKEY~                                            
CN400021江北     |~BADKEY~                                            
CN430030硚口     |~BADKEY~                                            
CN445000恩施     |~BADKEY~                                            
CN515300普宁     |~BADKEY~                                            
CN518100宝安     |~BADKEY~                                            
CN610051成华     |~BADKEY~                                            
CN710000       |~BADKEY~                                                
CN712000秦都     |~BADKEY~                                            
CN730000城关     |~BADKEY~                                            
CN      东三     |~BADKEY~                                            
CN      中关     |~BADKEY~                                            
CN      太仓     |~BADKEY~                                            
CN      崇文     |~BADKEY~                                            
CN      沪太     |~BADKEY~                                            
CN      虎门     |~BADKEY~                                            
CN100079丰台     |~BADKEY~                                            
CN201600松江     |~BADKEY~                                            
CN210000建邺     |~BADKEY~                                            
CN300074南开     |~BADKEY~                                            
CN300180河东     |~BADKEY~                                            
CN300380西青     |~BADKEY~                                            
CN315048江东     |~BADKEY~                                            
CN511496番禺     |~BADKEY~                                            
CN515041金平     |~BADKEY~                                            
CN518128宝安     |~BADKEY~                                            
CN527300云城     |~BADKEY~                                            
CN529200台山     |~BADKEY~                                            
CN710089阎良     |~BADKEY~                                            
CN750003兴庆     |~BADKEY~                                            
CN844400岳普     |~BADKEY~                                            
CN      北二     |~BADKEY~                                            
CN      北塘     |~BADKEY~                                            
CN      山西     |~BADKEY~                                            
CN      萧山     |~BADKEY~                                            
CN      龙泉     |~BADKEY~                                            
CN034000忻府     |~BADKEY~                                            
CN100000海淀     |~BADKEY~                                            
CN116007中山     |~BADKEY~                                            
CN250199历城     |~BADKEY~                                            
CN266075市南     |~BADKEY~                                            
CN300210河西     |~BADKEY~                                            
CN351100城厢     |~BADKEY~                                            
CN430012江岸     |~BADKEY~                                            
CN451450中牟     |~BADKEY~                                            
CN464000浉河     |~BADKEY~                                            
CN511434番禺     |~BADKEY~                                            
CN518034福田     |~BADKEY~                                            
CN550002南明     |~BADKEY~                                            
CN710061碑林     |~BADKEY~                                            
CN      坂田     |~BADKEY~                                            
CN      工商     |~BADKEY~                                            
CN      环城     |~BADKEY~                                            
CN      硚口     |~BADKEY~                                            
CN200335长宁     |~BADKEY~                                            
CN210036鼓楼     |~BADKEY~                                            
CN215000吴中     |~BADKEY~                                            
CN410016芙蓉     |~BADKEY~                                            
CN510045越秀     |~BADKEY~                                            
CN610000       |~BADKEY~                                                
CN810000青海     |~BADKEY~                                            
CN      新华     |~BADKEY~                                            
CN      金山     |~BADKEY~                                            
CN      锡林     |~BADKEY~                                            
CN      黄浦     |~BADKEY~                                            
CN100085海淀     |~BADKEY~                                            
CN102208昌平     |~BADKEY~                                            
CN150050道外     |~BADKEY~                                            
CN201707青浦     |~BADKEY~                                            
CN215500常熟     |~BADKEY~                                            
CN264006福山     |~BADKEY~                                            
CN361004思明     |~BADKEY~                                            
CN518111龙岗     |~BADKEY~                                            
CN529321开平     |~BADKEY~                                            
CN      东安     |~BADKEY~                                            
CN      从化     |~BADKEY~                                            
CN      浑南     |~BADKEY~                                            
CN      福州     |~BADKEY~                                            
CN100036海淀     |~BADKEY~                                            
CN100055西城     |~BADKEY~                                            
CN255025张店     |~BADKEY~                                            
CN300350津南     |~BADKEY~                                            
CN310053滨江     |~BADKEY~                                            
CN362018丰泽     |~BADKEY~                                            
CN410000芙蓉     |~BADKEY~                                            
CN450007中原     |~BADKEY~                                            
CN510378荔湾     |~BADKEY~                                            
CN610041       |~BADKEY~                                                
CN610073青羊     |~BADKEY~                                            
CN      新疆     |~BADKEY~                                            
CN      桥西     |~BADKEY~                                            
CN      第一     |~BADKEY~                                            
CN062550任丘     |~BADKEY~                                            
CN100000朝阳     |~BADKEY~                                            
CN116033甘井     |~BADKEY~                                            
CN150020道外     |~BADKEY~                                            
CN201302浦东     |~BADKEY~                                            
CN215128吴中     |~BADKEY~                                            
CN266101崂山     |~BADKEY~                                            
CN321300永康     |~BADKEY~                                            
CN400010渝中     |~BADKEY~                                            
CN430070洪山     |~BADKEY~                                            
CN472143陕县     |~BADKEY~                                            
CN528216南海     |~BADKEY~                                            
CN      双塔     |~BADKEY~                                            
CN      涪陵     |~BADKEY~                                            
CN101101通州     |~BADKEY~                                            
CN200443闸北     |~BADKEY~                                            
CN300042和平     |~BADKEY~                                            
CN361023集美     |~BADKEY~                                            
CN410015天心     |~BADKEY~                                            
CN430050汉阳     |~BADKEY~                                            
CN434000沙市     |~BADKEY~                                            
CN510145荔湾     |~BADKEY~                                            
CN650233盘龙     |~BADKEY~                                            
CN      大道     |~BADKEY~                                            
CN      海口     |~BADKEY~                                            
CN      龙华     |~BADKEY~                                            
CN100020朝阳     |~BADKEY~                                            
